Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
52,1972,WAS,11,159,284,2193,21,15,2082,17,218,41,40,30,14,1
53,1971,WAS,9,182,334,2273,13,15,1757,8,190,27,27,49,29,0
54,1970,WAS,6,203,342,2108,23,10,2021,11,314,34,33,27,20,0
55,1969,WAS,7,275,444,2784,22,16,1532,11,319,36,35,27,16,1
56,1968,WAS,5,227,408,2484,23,18,1164,6,358,31,30,19,9,0
57,1967,WAS,5,301,527,3730,31,17,1247,13,353,47,42,26,7,1
58,1966,WAS,7,255,443,3014,28,20,1377,9,355,41,39,34,22,0
59,2023,TEN,6,304,494,3067,14,11,1846,16,367,30,28,30,29,0
60,2022,TEN,7,285,456,2914,16,11,2131,16,359,33,32,24,20,0
61,2021,TEN,12,359,535,3418,22,14,2404,23,354,47,43,32,26,0
62,2020,TEN,11,316,485,3653,33,7,2690,26,439,53,51,28,20,0
63,2019,TEN,9,297,448,3582,29,8,2223,21,331,52,50,18,8,1
64,2018,TEN,9,293,437,2975,16,12,2027,15,303,31,28,30,26,0
65,2017,TEN,9,306,496,3191,14,17,1833,18,356,33,31,42,35,0
66,2016,TEN,9,307,504,3541,29,11,2187,16,378,41,39,24,22,0
67,2015,TEN,3,342,551,3503,25,17,1485,10,423,31,29,16,14,0
68,2014,TEN,2,299,513,3412,20,16,1447,6,438,27,27,22,19,1
69,2013,TEN,7,328,533,3496,22,16,1894,16,381,41,41,29,25,0
